                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.50523,                0.37189,                0.45423,                0.33167,                    nan,                    nan,                    nan,                      0,                      0,                      0
                      2,                    nan,                    nan,                    nan,                0.50658,                0.45034,                0.47445,                0.34608,                    nan,                    nan,                    nan,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                    nan,                    nan,                    nan,                0.71446,                0.35583,                0.48363,                0.35092,                    nan,                    nan,                    nan,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                    nan,                    nan,                    nan,                0.71403,                0.36454,                0.47741,                0.34537,                    nan,                    nan,                    nan,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                    nan,                    nan,                    nan,                0.71224,                0.37149,                0.48919,                0.35127,                    nan,                    nan,                    nan,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                    nan,                    nan,                    nan,                0.47552,                0.70253,                0.52088,                0.38194,                    nan,                    nan,                    nan,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                    nan,                    nan,                    nan,                0.72258,                0.38333,                0.52226,                0.38198,                    nan,                    nan,                    nan,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                    nan,                    nan,                    nan,                0.74556,                0.38333,                0.51483,                0.38001,                    nan,                    nan,                    nan,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                    nan,                    nan,                    nan,                 0.7891,                0.38333,                   0.49,                0.37056,                    nan,                    nan,                    nan,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                    nan,                    nan,                    nan,                0.79319,                0.36798,                0.48968,                0.36179,                    nan,                    nan,                    nan,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                    nan,                    nan,                    nan,                0.79225,                0.36655,                0.57274,                 0.3953,                    nan,                    nan,                    nan,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                    nan,                    nan,                    nan,                0.95772,                 0.3664,                0.57145,                0.39548,                    nan,                    nan,                    nan,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                    nan,                    nan,                    nan,                  0.958,                0.36629,                0.57165,                0.39483,                    nan,                    nan,                    nan,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                    nan,                    nan,                    nan,                0.79249,                0.36614,                0.48955,                0.36672,                    nan,                    nan,                    nan,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                    nan,                    nan,                    nan,                0.79137,                 0.3663,                0.57423,                0.38838,                    nan,                    nan,                    nan,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                    nan,                    nan,                    nan,                0.79139,                0.36635,                0.57248,                 0.3697,                    nan,                    nan,                    nan,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                    nan,                    nan,                    nan,                0.79127,                 0.3664,                0.57249,                 0.3703,                    nan,                    nan,                    nan,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                    nan,                    nan,                    nan,                0.79127,                 0.3664,                0.57249,                 0.3703,                    nan,                    nan,                    nan,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                    nan,                    nan,                    nan,                0.79174,                0.36634,                0.57235,                 0.3709,                    nan,                    nan,                    nan,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                    nan,                    nan,                    nan,                0.79174,                0.36634,                0.57235,                 0.3709,                    nan,                    nan,                    nan,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                    nan,                    nan,                    nan,                0.79252,                0.36616,                0.48586,                0.33775,                    nan,                    nan,                    nan,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                    nan,                    nan,                    nan,                0.79252,                0.36616,                0.48586,                0.33775,                    nan,                    nan,                    nan,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                    nan,                    nan,                    nan,                0.79171,                 0.3666,                 0.4338,                0.31187,                    nan,                    nan,                    nan,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                    nan,                    nan,                    nan,                0.79171,                 0.3666,                 0.4338,                0.31187,                    nan,                    nan,                    nan,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                    nan,                    nan,                    nan,                0.79233,                0.37152,                0.42649,                 0.2863,                    nan,                    nan,                    nan,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                    nan,                    nan,                    nan,                0.79233,                0.37152,                0.42649,                 0.2863,                    nan,                    nan,                    nan,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                    nan,                    nan,                    nan,                0.79421,                0.37319,                 0.4194,                0.26334,                    nan,                    nan,                    nan,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                    nan,                    nan,                    nan,                0.79421,                0.37319,                 0.4194,                0.26334,                    nan,                    nan,                    nan,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                    nan,                    nan,                    nan,                0.79774,                0.37392,                0.41003,                0.26332,                    nan,                    nan,                    nan,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                    nan,                    nan,                    nan,                0.79774,                0.37392,                0.41003,                0.26332,                    nan,                    nan,                    nan,             2.4602e-05,             2.4602e-05,             2.4602e-05
