                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.40743,                   0.65,                0.63412,                0.44036,                    nan,                    nan,                    nan,                      0,                      0,                      0
                      2,                    nan,                    nan,                    nan,                0.55723,                0.56667,                0.62752,                0.43897,                    nan,                    nan,                    nan,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                    nan,                    nan,                    nan,                0.56393,                0.56667,                0.61598,                0.43309,                    nan,                    nan,                    nan,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                    nan,                    nan,                    nan,                0.57122,                0.56667,                0.60639,                0.43001,                    nan,                    nan,                    nan,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                    nan,                    nan,                    nan,                0.74048,                0.56667,                 0.6064,                0.42769,                    nan,                    nan,                    nan,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                    nan,                    nan,                    nan,                0.73817,                0.56868,                0.60188,                   0.41,                    nan,                    nan,                    nan,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                    nan,                    nan,                    nan,                0.72897,                0.58333,                0.59609,                0.40769,                    nan,                    nan,                    nan,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                    nan,                    nan,                    nan,                0.72712,                0.58333,                0.59332,                0.41337,                    nan,                    nan,                    nan,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                    nan,                    nan,                    nan,                0.72394,                0.58333,                0.58294,                0.39693,                    nan,                    nan,                    nan,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                    nan,                    nan,                    nan,                 0.7086,                0.58333,                0.57397,                0.39417,                    nan,                    nan,                    nan,             9.7557e-06,             9.7557e-06,             9.7557e-06
